!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
+++,PS00866,Quotations from Vice-Chairman Lin Biao,,en,G88,PL0002,1969,unknown,,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,PS00866,副主席林彪语录,,zh,G88,PL0002,1969,unknown,,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,PS00867,Talk at a Conference of Representatives of Anwhei Who Have Come to Beijing,,en,G27,,,,,,PS00868,,520-534,,,2020-06-30,MG,2020-06-30,MG
+++,PS00868,CCP Documents of the Great Proletarian Cultural Revolution,1966-1967,en,G26,PL0017,1968,Union Research Institute,,,,,,,Add Chinese original,2020-06-30,MG,2020-06-30,MG
+++,PS00869,On Protracted War,,en,G27,,,,,,PS00475,Vol. 2,,,,2020-09-28,MG,2020-09-28,MG
+++,PS00869,论持久战,,zh,G27,,,,,,PS00475,Vol. 2,,,,2020-09-28,MG,2020-09-28,MG
+++,PS00870,The Newcomer,The Manager of an MTS and the Chief Agronomist,en,G04,,1954?,,,,,,,,Chinese title should be added,2021-01-16,MG,2021-01-16,MG
+++,PS00870,Повесть о директоре МТС и главном агрономе,,ru,G04,,1954?,,,,,,,,Chinese title should be added,2021-01-16,MG,2021-01-16,MG
+++,PS00871,And Quiet Flows The Don,,en,G04,PL0003,1952,Guangming shuju,1931,,,,,,,2021-01-18,MG,2021-01-18,MG
+++,PS00871,静静的顿河,,zh,G04,PL0003,1952,Guangming shuju,1931,,,,,,,2021-01-18,MG,2021-01-18,MG
+++,PS00872,Erfahrungen bei der Heranbildung und Weiterbildung von Kadern in Finanzämtern,,de,G75,PL0999,1949..1955,unknown,,,,,,,check the Chinese translation,2021-01-18,MG,2021-01-18,MG
+++,PS00873,1984,,en,G07,PL0020,1998,Liao ning jiao yu chu ban she,1953,,,,,,,2021-03-12,MG,2021-04-06,MG
+++,PS00873,一九八四,,zh,G07,PL0020,1998,Liao ning jiao yu chu ban she,1953,,,,,,,2021-03-12,MG,2021-04-06,MG
+++,PS00874,Paradise Lost,,en,G10,PL0002,1958,Renmin wenxue chubanshe,1667,,,,,,,2021-03-15,MG,2021-03-15,MG
+++,PS00874,失乐园,,zh,G10,PL0002,1958,Renmin wenxue chubanshe,1667,,,,,,,2021-03-15,MG,2021-03-15,MG
+++,PS00875,The History of Future City,,en,G41,PL0999,,,,,,,,F,,2021-04-15,MG,2021-04-15,MG
+++,PS00875,未来市的历史,,zh,G41,PL0999,,,,,,,,F,,2021-04-15,MG,2021-04-15,MG
+++,PS00876,The Diamond Sutra,,en,G29,PL0002,1989,Wenwu chubanshe,,,,,,,,2021-05-05,MG,2021-05-05,MG
+++,PS00876,金剛般若波羅蜜經論,,zh,G29,PL0002,1989,Wenwu chubanshe,,,,,,,,2021-05-05,MG,2021-05-05,MG
+++,PS00877,The Crystal Spheres,,en,G07,,,,,,PS00931,,,,,2021-06-07,MG,2021-07-27,MG
+++,PS00877,水晶球,,zh,G07,,,,,,PS00931,,,,,2021-06-07,MG,2021-07-27,MG
+++,PS00878,Restaurant at The End of The Universe,,en,G07,PL0004,2005,Sichuan kexue jishu chubanshe,,,,,,,,2021-06-09,MG,2021-06-12,MG
+++,PS00878,宇宙尽头的餐馆,,zh,G07,PL0004,2005,Sichuan kexue jishu chubanshe,,,,,,,,2021-06-09,MG,2021-06-12,MG
+++,PS00879,Huainanzi,,en,G28,PL0002,1978,Guancang zhongwen ziyuan,-0139,,,,,,,2021-06-14,MG,2021-07-27,MG
+++,PS00879,淮南子,,zh,G28,PL0002,1978,Guancang zhongwen ziyuan,-0139,,,,,,,2021-06-14,MG,2021-07-27,MG
+++,PS00880,Odyssey,,en,G11,PL0002,1956,Zhongguo qingnian chubanshe,,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,PS00880,奥德赛,,zh,G11,PL0002,1956,Zhongguo qingnian chubanshe,,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,PS00881,Xunzi,,en,G29,PL0003,1959,Shanghai renmin chubanshe,,,,,,,,2021-06-15,MG,2021-06-15,MG
+++,PS00881,荀子,,zh,G29,PL0003,1959,Shanghai renmin chubanshe,,,,,,,,2021-06-15,MG,2021-06-15,MG
+++,PS00882,The Guinness Book of World Records,,en,G86,PL0003,1988,Shanghai wenhua chubanshe,,,,,,,,2021-06-15,MG,2021-06-16,MG
+++,PS00882,吉尼斯世界纪录,,zh,G86,PL0003,1988,Shanghai wenhua chubanshe,,,,,,,,2021-06-16,MG,2021-06-16,MG
+++,PS00883,Three Alls Policy,,en,G87,PL0999,,,,,,,,,,2021-06-15,MG,2021-06-16,MG
+++,PS00883,三光政策,,zh,G87,PL0999,,,,,,,,,,2021-06-16,MG,2021-06-16,MG
+++,PS00884,The Hitchhiker’s Guide to The Universe,,en,G07,PL0003,2011,Shanghai yiwen chubanshe,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00884,银河系搭车客指南,,zh,G07,PL0003,2011,Shanghai yiwen chubanshe,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00885,Call to Arms,,en,G28,PL0002,1973,Renmin wenxue chubanshe,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00885,呐喊,,zh,G28,PL0002,1973,Renmin wenxue chubanshe,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00886,Mathematical Principles of Natural Philosophy,,en,G99,PL0003,1931,Shang wu yin shu guan,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00886,自然哲学的数学原理,,zh,G99,PL0003,1931,Shang wu yin shu guan,,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,PS00887,As if in a dream,a song,en,G10,PL0999,,unknown,,,,,,,check later,2021-06-21,MG,2021-07-23,MG
+++,PS00888,Erewhon,,en,G90,PL0110,1985,Hunan renmin chubanshe,,,,,,,,2021-06-22,MG,2021-07-27,MG
+++,PS00888,埃里汪奇游记,,zh,G90,PL0110,1985,Hunan renmin chubanshe,,,,,,,,2021-06-22,MG,2021-07-27,MG
+++,PS00889,Erewhon Revisited,,en,G90,PL0036,1901,J. Cape,,,,,,,Chinese edition?,2021-06-22,MG,2021-07-27,MG
+++,PS00890,Design For a Brain,,en,G19,PL0036,1952,Chapman & Hall,,,,,,,Chinese edition?,2021-06-22,MG,2021-07-23,MG
+++,PS00891,Journal International Microbiology,,en,G52,PL0999,,unknown,,,,,,F,,2021-06-22,MG,2021-06-22,MG
+++,PS00892,Die Gute Hausfrau,,de,G99,PL0999,,unknown,,,,,,,fictional? Check later,2021-06-22,MG,2021-06-22,MG
+++,PS00893,Othello,,en,G16,PL0003,1958,Xinwenyi chubanshe,,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,PS00893,奧塞罗,,zh,G16,PL0003,1958,Xinwenyi chubanshe,,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,PS00894,The Smiling Proud Wanderer,,en,G04,PL0153,1985,Shandong renmin chubanshe,1967,,,,,,,2021-06-23,MG,2021-07-02,MG
+++,PS00894,笑傲江湖,,zh,G04,PL0153,1985,Shandong renmin chubanshe,1967,,,,,,,2021-06-23,MG,2021-07-02,MG
+++,PS00895,Runaround,,en,G05,,,,,,PS00896,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00895,环舞,,zh,G05,,,,,,PS00896,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00896,I ; Robot,,en,G07,PL0002,1981,Kexue pu ji chubanshe,,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00896,我 ; 机器人,,zh,G07,PL0002,1981,Kexue pu ji chubanshe,,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00897,Iliad,,en,G11,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00897,伊利亚特,,zh,G11,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,PS00898,Jiefangjun Bao,,en,G52,PL0002,,Jie fang jun chu ban she,1956,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00898,解放军报,,zh,G52,PL0002,,Jie fang jun chu ban she,1956,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00899,36 Strategemes,,en,G87,PL0002,1999,Zhonguo wenshi chubanshe,,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00899,三十六计,,zh,G87,PL0002,1999,Zhonguo wenshi chubanshe,,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00900,The Modern Temper,A Study And Confession,en,G04,PL0050,1929,Harcourt Brace & World,,,,,,,Chinese title/publ. should be added,2021-07-09,MG,2021-07-09,MG
+++,PS00901,Abhandlung über die Bildung von Hautexzemen,,de,G19,PL0999,,unknown,,,,,,F,,2021-07-09,MG,2021-07-09,MG
+++,PS00902,Sporenlehre,,de,G19,PL0999,,unknown,,,,,,F,,2021-07-09,MG,2021-07-09,MG
+++,PS00903,Oxford English Dictionary,,en,G57,PL0679,,Oxford Universtity Press,,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00904,In His Image,The Cloning of a Man,en,G99,PL0002,1980,Kexue chubanshe,,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00904,人的複制,一个人的无性生殖,zh,G99,PL0002,1980,Kexue chubanshe,,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,PS00905,Alice’s Travel,,en,G07,PL0999,,,,,,,,,or Alice in outer space? Check again,2021-07-09,MG,2021-07-25,MG
+++,PS00906,Confessions of a Murderer,Told in One Night,en,G04,PL0036,1937,London Hale,,,,,,,Chinese edition?,2021-07-10,MG,2021-07-10,MG
+++,PS00906,我是杀人犯,,zh,G04,PL0036,1937,London Hale,,,,,,,not sure about Chinese title,2021-07-10,MG,2021-07-10,MG
+++,PS00907,The Road to Riches,or The Wealth of Men,en,G89,PL0002,2005,Guoji wen hua chu ban gong si,,,,,,,,2021-07-10,MG,2021-07-25,MG
+++,PS00907,财富的历程,,zh,G89,PL0002,2005,Guoji wen hua chu ban gong si,,,,,,,,2021-07-25,MG,2021-07-25,MG
+++,PS00908,Love on The Isle of God,,en,G04,PL0999,,unknown,,,,,,,please check,2021-07-10,MG,2021-07-25,MG
+++,PS00909,World Art,Magazine of Contemporary Visual Arts,en,G52,PL0699,1994,World Art,,,,,,,,2021-07-10,MG,2021-07-25,MG
+++,PS00910,River Snow,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00910,江雪,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00911,Yellow Crane Tower,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00911,黃鶴樓,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00912,Spring Dawn,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00912,春晓,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00913,Going Down to Jiangling,,en,G10,,,,,,PS00917,,,,Or : Through the Yangzi Gorges,2021-07-11,MG,2021-07-11,MG
+++,PS00913,下江陵,,zh,G10,,,,,,PS00917,,,,Or : Through the Yangzi Gorges,2021-07-11,MG,2021-07-11,MG
+++,PS00914,Quiet Night Thought,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00914,靜夜思,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00915,Seeing off Meng Haoran for Guangling at Yellow Crane Tower,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00915,黃鶴樓送孟浩然之廣陵,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00916,Climbing Stork Tower,,en,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00916,登鹳雀楼,,zh,G10,,,,,,PS00917,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00917,Three Hundred Tang Poems,,en,G28,PL0002,1956,Wenxue guji kanxing she,,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00917,唐詩三百首,,zh,G28,PL0002,1956,Wenxue guji kanxing she,,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,PS00918,Theory of Moral Sentiments,,en,G29,PL0002,1997,Shang wu yin shu guan,,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,PS00918,道德情操论,,zh,G29,PL0002,1997,Shang wu yin shu guan,,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,PS00919,The Orphans,,en,G07,PL0999,,unknown,,,,,,,please check,2021-07-14,MG,2021-07-23,MG
+++,PS00920,Rumpelstilzchen,,de,G08,,,,,,PS00217,,,,,2021-07-14,MG,2021-07-14,MG
+++,PS00920,Rumpelstiltskin,,en,G08,,,,,,PS00217,,,,,2021-07-14,MG,2021-07-14,MG
+++,PS00920,名字古怪的小矮人兒,,zh,G08,,,,,,PS00217,,,,,2021-07-14,MG,2021-07-14,MG
+++,PS00921,The Book of Songs,,en,G28,PL0002,1999,Zhongguo wen shi chu ban shi,,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,PS00921,诗经,,zh,G28,PL0002,1999,Zhongguo wen shi chu ban shi,,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,PS00922,Chu Ci,,en,G28,PL0002,1998,Lantian chubanshe,,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,PS00922,楚辞,,zh,G28,PL0002,1998,Lantian chubanshe,,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,PS00923,I Ching or Book of Changes,The Richard Wilhelm Translation,en,G29,PL0050,1950,Pantheon Books,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00923,易经,,zh,G29,PL0050,1950,Pantheon Books,,,,,,,,2021-07-21,MG,2021-07-23,MG
+++,PS00924,The Secret of The Golden Flower,A Chinese Book of Life,en,G29,PL0036,1950,Routledge,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00924,金花的秘密,中國生命之書,zh,G29,PL0036,1950,Routledge,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00925,Adam and Eve,,en,G83,,,,,,PS00512,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00925,亚当和夏娃,,zh,G83,,,,,,PS00512,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00926,Doraemon,,en,G84,PL0999,,,,,,,,,please check again,2021-07-21,MG,2021-07-21,MG
+++,PS00926,哆啦A夢,,zh,G84,PL0999,,,,,,,,,please check again,2021-07-21,MG,2021-07-21,MG
+++,PS00927,Peter Pan,,en,G04,PL0002,1991,Sanlian shudian,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00927,彼得潘,,zh,G04,PL0002,1991,Sanlian shudian,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,PS00928,Cannibalism,,en,G99,PL0999,,unknown,,,,,,,,2021-07-23,MG,2021-07-23,MG
+++,PS00928,吃人,,zh,G99,PL0999,,unknown,,,,,,,,2021-07-23,MG,2021-07-23,MG
+++,PS00929,水彩画技法,,zh,G99,PL0999,,unknown,,,,,,,,2021-07-23,MG,2021-07-23,MG
+++,PS00930,电子线路人门,,zh,G99,PL0999,,unknown,,,,,,,,2021-07-23,MG,2021-07-23,MG
+++,PS00931,Mang mang tai kong xun zhi yin : mei guo you xiu ke huan ziao shuo xuan,,zh-Latn-pinyin,G28,PL0100,1990,Shao nian er tong chubanshe,,,,,,,,2021-07-23,MG,2021-07-23,MG
:,W0414,unknown,unknown,en,G99,SP0436,19XX,unknown,19XX,,,,,,,2018-04-10,MG,2020-04-08,DP
