genre_id,genre_name,genre_name_lang,genre_type,source,created,created_by,last_modified,last_modified_by
G59,poetry collection,en,poetry,http://id.loc.gov/authorities/subjects/sh85103707.html,2018-11-04,WH,2019-01-26,WH
G70,commentary,en,literary non-fiction,http://id.loc.gov/authorities/subjects/sh99001404.html,2018-11-04,WH,2019-01-26,WH
G71,criticism,en,literary non-fiction,http://id.loc.gov/authorities/subjects/sh85034149.html,2018-11-04,WH,2019-01-26,WH
G72,doggerel,en,poetry,http://id.loc.gov/authorities/subjects/sh85038779.html,2018-11-16,WH,2019-01-26,WH
G73,maps,en,informational works,http://id.loc.gov/authorities/subjects/sh99002035.html,2018-11-03,WH,2019-01-26,WH
G74,artbook,en,informational works,http://id.loc.gov/authorities/names/nr98042246.html,2018-12-16,WH,2019-01-26,WH
G75,reportage literature,en,literary non-fiction,http://id.loc.gov/authorities/subjects/sh85112927.html,2019-01-25,WH,2019-01-26,WH
G76,pamphlet,en,informational works,http://id.loc.gov/authorities/subjects/sh85097292.html,2019-02-18,LH,2019-02-18,LH
G77,"fable, oriental",en,fiction,http://id.loc.gov/authorities/subjects/sh85046762.html,2019-02-24,WH,2019-02-25,WH
G78,radio scripts,en,informational works,http://id.loc.gov/authorities/genreForms/gf2018026131.html,2019-04-24,WH,2019-04-24,WH
G79,Closet drama,en,drama,http://id.loc.gov/authorities/subjects/sh2012004336.html,2020-01-08,MG,2020-01-08,MG
G80,environmental sciences,en,informational works,http://id.loc.gov/authorities/subjects/sh92004048.html,2020-02-14,MG,2020-02-14,MG
G81,science fiction comics,en,fiction,https://id.loc.gov/authorities/genreForms/gf2014026530.html,2021-04-15,MG,2021-04-15,MG
G82,lianhuanhua (连环画),en,fiction,https://id.loc.gov/authorities/genreForms/gf2014026362.html,2021-04-15,MG,2021-04-15,MG
G83,myths,en,fiction,https://id.loc.gov/authorities/genreForms/gf2015026043.html,2021-04-15,MG,2021-04-15,MG
G84,comics (graphic works),en,fiction,https://id.loc.gov/authorities/genreForms/gf2014026266.html,2021-06-05,MG,2021-06-05,MG
G85,Haiku,en,fiction,https://id.loc.gov/authorities/genreForms/gf2014026366.html,2021-06-12,MG,2021-06-12,MG
G86,reference  works,en,informational works,https://id.loc.gov/authorities/genreForms/gf2014026165.html,2021-06-16,MG,2021-06-16,MG
G87,military strategy,en,informational works,https://id.loc.gov/authorities/subjects/sh85128514.html,2021-06-16,MG,2021-06-16,MG
G88,quotations,en,informational works,http://id.loc.gov/authorities/genreForms/gf2014026159.html,2019-01-07,DM,2019-01-07,DM
G89,Economics,en,informational works,https://id.loc.gov/authorities/subjects/sh85040850.html,2021-07-25,MG,2021-07-25,MG
G90,satirical literature,en,fiction,https://id.loc.gov/authorities/genreForms/gf2014026525.html,2021-06-22,MG,2021-07-27,MG
G99,unknown,en,unknown,http://none,2018-10-18,WH,2018-10-18,WH
